1,Bing Crosby,White Christmas,1942
2,Bill Haley & his Comets,Rock Around the Clock,1955
3,Celine Dion,My Heart Will Go On,1998
4,Sinead O'Connor,Nothing Compares 2 U,1990
5,The Beatles,Hey Jude,1968
6,Bryan Adams,(Everything I Do) I Do it For You,1991
7,Whitney Houston,I Will Always Love You,1992
8,Pink Floyd,Another Brick in the Wall (part 2),1980
9,Irene Cara,Flashdance... What a Feeling,1983
10,Elton John,Candle in the Wind '97,1997
11,The Rolling Stones,(I Can't Get No) Satisfaction,1965
12,Coolio,Gangsta's Paradise,1995
13,Eminem,Lose Yourself,2002
14,Cher,Believe,1998
15,Usher,Yeah!,2004
16,The Beatles,Let it Be,1970
17,Procol Harum,A Whiter Shade of Pale,1967
18,Bee Gees,Stayin' Alive,1978
19,Leona Lewis,Bleeding Love,2008
20,The Police,Every Breath You Take,1983
21,Kim Carnes,Bette Davis Eyes,1981
22,Rihanna & Jay-Z,Umbrella,2007
23,George Harrison,My Sweet Lord,1971
24,Abba,Dancing Queen,1976
25,P Diddy & Faith Evans,I'll Be Missing You,1997
26,Britney Spears,Baby One More Time,1999
27,The Beatles,I Want to Hold Your Hand,1964
28,Michael Jackson,Billie Jean,1983
29,Bobby Darin,Mack the Knife,1959
30,John Travolta & Olivia Newton-John,You're the One That I Want,1978
31,USA For Africa,We Are the World,1985
32,Hanson,Mmmbop,1997
33,Madonna,Vogue,1990
34,Spice Girls,Wannabe,1996
35,Roy Orbison,"Oh, Pretty Woman",1964
36,Eminem,Without Me,2002
37,The Village People,YMCA,1978
38,Stevie Wonder,I Just Called to Say I Love You,1984
39,George Michael,Careless Whisper,1984
40,John Lennon,Imagine,1971
41,Survivor,Eye of the Tiger,1982
42,Los Del Rio,Macarena,1996
43,Elvis Presley,Are You Lonesome Tonight?,1960
44,UB40,Can't Help Falling in Love,1993
45,OutKast,Hey Ya!,2003
46,Queen,Bohemian Rhapsody,1976
47,Barbra Streisand,A Woman in Love,1980
48,Katy Perry,I Kissed A Girl,2008
49,Judy Garland,Over the Rainbow,1939
50,Elvis Presley,It's Now Or Never,1960
51,No Doubt,Don't Speak,1997
52,Shakira & Wyclef Jean,Hips don't lie,2006
53,50 Cent,In Da Club,2003
54,Kylie Minogue,Can't Get You Out of My Head,2001
55,The Black Eyed Peas,Where is the Love?,2003
56,The Rolling Stones,Angie,1973
57,Mungo Jerry,In the Summertime,1970
58,Vaughn Monroe,(Ghost) Riders in the Sky,1949
59,Lady GaGa,Poker Face,2009
60,Ace of Base,The Sign,1994
61,Carl Douglas,Kung Fu Fighting,1974
62,Justin Timberlake,Sexyback,2006
63,Madonna,Hung Up,2005
64,Elvis Presley,Jailhouse Rock,1957
65,The Beatles,Help!,1965
66,Joan Jett & The Blackhearts,I Love Rock 'n' Roll,1982
67,Ricky Martin,Livin' La Vida Loca,1999
68,The Monkees,I'm a Believer,1967
69,Shakira,"Whenever, Wherever",2002
70,Rihanna & Calvin Harris,We Found Love,2011
71,Frank Sinatra,Strangers in the Night,1966
72,Bruce Springsteen,Streets of Philadelphia,1994
73,The Righteous Brothers,Unchained Melody,1965
74,All-4-One,I Swear,1994
75,Glenn Miller,In the Mood,1940
76,Lou Bega,Mambo No 5 (A Little Bit of ...),1999
77,Doris Day,Que sera sera (Whatever will be will be),1956
78,Flo-Rida & T-Pain,Low,2008
79,Nat King Cole,Mona Lisa,1950
80,Terry Jacks,Seasons in the Sun,1974
81,Culture Club,Karma Chameleon,1983
82,Aerosmith,I Don't Want to Miss a Thing,1998
83,Blondie,Heart of Glass,1979
84,Boyz II Men,End of the Road,1992
85,The Fugees,Killing Me Softly With His Song,1996
86,Tony Orlando & Dawn,Tie a Yellow Ribbon 'round the Old Oak Tree,1973
87,Fergie,Big Girls Don't Cry,2007
88,Shocking Blue,Venus,1970
89,Eagles,Hotel California,1977
90,Bing Crosby,Swinging On a Star,1944
91,The Beatles,All You Need is Love,1967
92,Chubby Checker,The Twist,1960
93,Nelly & Kelly Rowland,Dilemma,2002
94,The Beatles,She Loves You,1964
95,Beyonce,Crazy in Love,2003
96,The Black Eyed Peas,I Gotta Feeling,2009
97,John Lennon,(Just Like) Starting Over,1980
98,Culture Club,Do You Really Want to Hurt Me?,1982
99,Brandy & Monica,The Boy is Mine,1998
100,Madonna,Like a Prayer,1989
101,Sean Kingston,Beautiful Girls,2007
102,Prince,When Doves Cry,1984
103,The Beatles,Yesterday,1965
104,The Pussycat Dolls,Don't Cha,2005
105,Bee Gees,Night Fever,1978
106,Diana Ross,Upside Down,1980
107,Madonna,Music,2000
108,Nickelback,How You Remind Me,2002
109,Archies,Sugar Sugar,1969
110,"Christina Aguilera, Lil' Kim, Mya & Pink",Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?),2001
111,A-Ha,Take On Me,1985
112,Las Ketchup,The Ketchup Song (Asereje),2002
113,The Beatles,Get Back,1969
114,Rob Thomas & Santana,Smooth,1999
115,Snow,Informer,1993
116,Timbaland & OneRepublic,Apologize,2007
117,t.A.T.u.,All the Things She Said,2003
118,Take That,Back For Good,1995
119,The Beatles,"Hello, Goodbye",1967
120,Chicago,If You Leave Me Now,1976
121,Aqua,Barbie Girl,1997
122,Gnarls Barkley,Crazy,2006
123,Blondie,Call Me,1980
124,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),1987
125,Elton John & Kiki Dee,Don't Go Breaking My Heart,1976
126,Ace of Base,All That She Wants,1993
127,Boney M,Rivers of Babylon,1978
128,Michael Jackson,Black Or White,1991
129,Simon & Garfunkel,Bridge Over Troubled Water,1970
130,Chic,Le Freak,1979
131,TLC,No Scrubs,1999
132,Nancy Sinatra,These Boots Are Made For Walking,1966
133,Ray Charles,I Can't Stop Loving You,1962
134,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),1993
135,Chubby Checker,Let's Twist Again,1961
136,Percy Faith,Theme From 'A Summer Place',1960
137,LMFAO,Party Rock Anthem,2011
138,James Blunt,You're Beautiful,2005
139,Don McLean,American Pie,1972
140,Ben E King,Stand By Me,1961
141,"Bryan Adams, Rod Stewart & Sting",All For Love,1994
142,Pink,So What,2008
143,Phil Collins,Another Day in Paradise,1989
144,Paul McCartney & Stevie Wonder,Ebony & Ivory,1982
145,Lady GaGa & Colby O'Donis,Just Dance,2008
146,Eiffel 65,Blue (Da Ba Dee),1999
147,Petula Clark,Downtown,1965
148,Michael Jackson,Beat It,1983
149,The Human League,Don't You Want Me,1982
150,Rick Astley,Never Gonna Give You Up,1987
151,Londonbeat,I've Been Thinking About You,1990
152,The Kingston Trio,Tom Dooley,1958
153,Bing Crosby & The Andrews Sisters,Don't Fence Me In,1944
154,Berlin,Take My Breath Away,1986
155,Beyonce,Irreplaceable,2006
156,Nirvana,Smells Like Teen Spirit,1992
157,U2,Beautiful Day,2000
158,Dinah Shore,Buttons & Bows,1948
159,Avril Lavigne,Girlfriend,2007
160,George McCrae,Rock Your Baby,1974
161,Gloria Gaynor,I Will Survive,1979
162,Mariah Carey,Without You,1994
163,Abba,Waterloo,1974
164,Les Paul & Mary Ford,Vaya Con Dios (may God Be With You),1953
165,Vanilla Ice,Ice Ice Baby,1990
166,Anton Karas,Third Man Theme,1950
167,Abba,Fernando,1976
168,R Kelly,I Believe I Can Fly,1997
169,Avril Lavigne,Complicated,2002
170,The Beatles,Penny Lane,1967
171,Eminem & Rihanna,Love The Way You Lie,2010
172,Adele,Rolling In The Deep,2011
173,Doris Day,Secret Love,1954
174,Olivia Newton-John,(Let's Get) Physical,1981
175,Boyz II Men,I'll Make Love to You,1994
176,Madonna & Justin Timberlake,Four Minutes,2008
177,Bryan Adams,Have You Ever Really Loved a Woman?,1995
178,MC Hammer,U Can't Touch This,1990
179,Gotye & Kimbra,Somebody That I Used to Know,2012
180,Starsound,Stars On 45,1981
181,Lipps Inc,Funkytown,1980
182,Nat King Cole,Too Young,1951
183,The Backstreet Boys,I Want it That Way,1999
184,Celine Dion,Because You Loved Me,1996
185,Falco,Rock Me Amadeus,1986
186,Bruno Mars,Grenade,2011
187,The Beach Boys,Good Vibrations,1966
188,Bee Gees,(The Lights Went Out In) Massachusetts,1967
189,Dionne Warwick & Friends,That's What Friends Are For,1986
190,The Animals,House of the Rising Sun,1964
191,Britney Spears,Toxic,2004
192,Cyndi Lauper,Girls Just Wanna Have Fun,1984
193,Pink,Get the Party Started,2002
194,Tennessee Ernie Ford,Sixteen Tons,1955
195,Mary Hopkin,Those Were the Days,1968
196,The Beatles,I Feel Fine,1964
197,Jo Stafford,You Belong to Me,1952
198,The Beatles,Paperback Writer,1966
199,Lynn Anderson,I Beg Your Pardon (I Never Promised You a Rose Garden),1971
200,Tina Turner,What's Love Got to Do With It?,1984
201,Band Aid,Do They Know It's Christmas?,1984
202,The Rolling Stones,Honky Tonk Woman,1969
203,Mariah Carey & Boyz II Men,One Sweet Day,1995
204,Roberta Flack,Killing Me Softly With His Song,1973
205,Katy Perry,Hot 'n' cold,2008
206,TLC,Waterfalls,1995
207,Roxette,It Must Have Been Love,1990
208,Bee Gees,Tragedy,1979
209,The Beatles,A Hard Day's Night,1964
210,Los Lobos,La Bamba,1987
211,The Chordettes,Mister Sandman,1954
212,Rod Stewart,Maggie May,1971
213,Phil Collins,A Groovy Kind of Love,1988
214,Zager & Evans,In the Year 2525 (Exordium & Terminus),1969
215,Mariah Carey,Fantasy,1995
216,George Michael,Faith,1987
217,Foreigner,I Want to Know What Love Is,1985
218,Elvis Presley,Heartbreak Hotel,1956
219,Beyonce & Shakira,Beautiful Liar,2007
220,Elvis Presley,Suspicious Minds,1969
221,Elton John,Crocodile Rock,1973
222,Madonna,Papa Don't Preach,1986
223,Toni Braxton,Un-Break My Heart,1996
224,The Black Eyed Peas,Shut Up,2003
225,Eric Clapton,Tears in Heaven,1992
226,Carly Simon,You're So Vain,1973
227,Will Smith,Men in Black,1997
228,Evanescence,Bring Me to Life,2003
229,Diana Ross & Lionel Richie,Endless Love,1981
230,David Bowie,Let's Dance,1983
231,Steve Miller Band,Abracadabra,1982
232,Wet Wet Wet,Love is All Around,1994
233,Akon,Lonely,2005
234,Michael Jackson,You Are Not Alone,1995
235,Christina Aguilera,Genie in a Bottle,1999
236,Everything But The Girl,Missing,1996
237,Savage Garden,Truly Madly Deeply,1998
238,The Mills Brothers,Paper Doll,1943
239,Bobby McFerrin,Don't Worry Be Happy,1988
240,Bee Gees,How Deep is Your Love?,1978
241,Alicia Keys,Fallin',2001
242,Eamon,F**k it (I Don't Want You Back),2004
243,Shaggy,Boombastic,1995
244,Patti Page,Tennessee Waltz,1950
245,Frankie Goes To Hollywood,Relax,1984
246,Lady GaGa,Bad Romance,2009
247,Elvis Presley,Hound Dog,1956
248,Madonna,Frozen,1998
249,Christina Aguilera,Beautiful,2003
250,Chumbawamba,Tubthumping,1997
251,Fats Domino,Blueberry Hill,1956
252,Elvis Presley & JXL,A Little Less Conversation,2002
253,Domenico Modugno,Volare,1958
254,Alicia Keys,No One,2007
255,Donna Summer,Hot Stuff,1979
256,The Pet Shop Boys,West End Girls,1986
257,The Bangles,Walk Like an Egyptian,1986
258,Mariah Carey,We Belong Together,2005
259,Daniel Powter,Bad Day,2005
260,Four Non Blondes,What's Up?,1993
261,Janet Jackson,That's the Way Love Goes,1993
262,Queen,Another One Bites the Dust,1980
263,Carly Rae Jepsen,Call Me Maybe,2012
264,J Geils Band,Centrefold,1982
265,Nelly Furtado & Timbaland,Promiscuous,2006
266,Patrick Hernandez,Born to Be Alive,1979
267,Culture Beat,Mr Vain,1993
268,U2,With Or Without You,1987
269,Rihanna,Don't Stop the Music,2007
270,Seal,Kiss From a Rose,1995
271,Bon Jovi,Always,1994
272,Bryan Adams,Please Forgive Me,1993
273,Pat Boone,Speedy Gonzales,1962
274,Tears For Fears,Shout,1985
275,Bonnie Tyler,Total Eclipse of the Heart,1983
276,Wham!,Wake Me Up Before You Go Go,1984
277,The Crew-Cuts,Sh-Boom (Life Could Be a Dream),1954
278,Green Day,Boulevard of Broken Dreams,2005
279,The Beatles,Yellow Submarine,1966
280,Bill Medley & Jennifer Warnes,(I've Had) the Time of My Life,1987
281,Bon Jovi,Blaze of Glory,1990
282,Eminem,Stan,2000
283,The Platters,Smoke Gets in Your Eyes,1959
284,Lionel Richie,"Say You, Say Me",1985
285,Mr Big,To Be With You,1992
286,Simon & Garfunkel,The Sounds of Silence,1966
287,Harry Nilsson,Without You,1972
288,Men At Work,Down Under,1982
289,Sheryl Crow,All I Wanna Do,1994
290,Rednex,Cotton Eye Joe,1994
291,The Rolling Stones,Jumpin' Jack Flash,1968
292,UB40,Red Red Wine,1983
293,Soft Cell,Tainted Love,1981
294,LeAnn Rimes,Can't Fight the Moonlight,2001
295,Shaggy & Ricardo 'RikRok' Ducent,It Wasn't Me,2001
296,Teresa Brewer,(Put Another Nickel In) Music! Music! Music!,1950
297,Dexys Midnight Runners,Come On Eileen,1982
298,Bruno Mars,Just the Way You Are,2010
299,Rocco Granata,Marina,1960
300,Jennifer Lopez,If You Had My Love,1999
301,David Guetta & Akon,Sexy Chick (sexy Bitch),2009
302,Britney Spears,Oops!... I Did it Again,2000
303,Lady GaGa,Born This Way,2011
304,N Sync,"Bye, Bye, Bye",2000
305,Donna Summer,I Feel Love,1977
306,Lionel Richie,All Night Long (All Night),1983
307,Dido,White Flag,2003
308,Les Brown & Doris Day,Sentimental Journey,1945
309,The Byrds,Mr Tambourine Man,1965
310,Gerry Rafferty,Baker Street,1978
311,Jennifer Lopez & Pitbull,On The Floor,2011
312,Elvis Presley,All Shook Up,1957
313,The Beatles,Ticket to Ride,1965
314,Natalie Imbruglia,Torn,1998
315,REM,Losing My Religion,1991
316,Haddaway,What is Love?,1993
317,Scott McKenzie,San Francisco (Wear Some Flowers in Your Hair),1967
318,The Andrews Sisters,Rum & Coca-Cola,1945
319,U2,I Still Haven't Found What I'm Looking For,1987
320,Roxette,Joyride,1991
321,Billy Swan,I Can Help,1975
322,Robert Miles,Children,1996
323,The Goo Goo Dolls,Iris,1998
324,Shaggy,Angel,2001
325,Nelly Furtado,Say It Right,2007
326,Otis Redding,(Sittin' On) the Dock of the Bay,1968
327,Sam The Sham & The Pharaohs,Wooly Bully,1965
328,Elvis Presley,Don't Be Cruel,1956
329,Kris Kross,Jump,1992
